"id";"geohash";"lat";"lon";"descr"
1;"u2j70yt0";45.5631;18.6728;"Hardware Store"
2;"u2j71jep";45.5588;18.6811;"Sandwich Place"
3;"u2j71n50";45.5604;18.6811;"General College & University"
4;"u2j70tyr";45.5602;18.6635;"Bakery"
5;"u2j70ykz";45.563;18.6725;"Hardware Store"
6;"u2j70ykx";45.563;18.6721;"Pizza Place"
7;"u2j70ykj";45.5626;18.6714;"Pub"
8;"u2j71jdu";45.5583;18.6807;"Bar"
9;"u2j71jc2";45.559;18.6787;"Clothing Store"
10;"u2j71jep";45.5588;18.6811;"College Academic Building"
11;"u2j71n4b";45.5604;18.6807;"General College & University"
12;"u2j71jg0";45.559;18.6811;"Sandwich Place"
13;"u2j71v3d";45.5566;18.712;"Pizza Place"
14;"u2j71jee";45.5582;18.6817;"Bar"
15;"u2j70psz";45.5698;18.6395;"Event Space"
16;"u2jk8egn";45.8127;18.6591;"none"
17;"u2jk8efy";45.8127;18.6587;"none"
18;"u2j71mf1";45.5592;18.6907;"College Science Building"
19;"u2j70j48";45.5549;18.6364;"Pharmacy"
20;"geohash";0.0;0.0;"closest_category_name"
21;"gc4nc3kn";51.8195;-8.3769;"none"
22;"gc4nc3kp";51.8197;-8.3769;"none"
23;"u0u6k7ke";49.6327;6.1697;"Miscellaneous Shop"
24;"u0u6x350";49.6638;6.2995;"Dog Run"
25;"u0u6qqvy";49.6525;6.2593;"Veterinarian"
26;"u0u6k7ks";49.6329;6.1697;"Miscellaneous Shop"
27;"u0u6k7s3";49.6337;6.1693;"Fast Food Restaurant"
28;"u0u6k7km";49.6331;6.1693;"Dessert Shop"
29;"u0u6qcd1";49.6228;6.2761;"none"
30;"u0u6x2gp";49.6636;6.2995;"Dog Run"
31;"u0u6y27r";49.7048;6.2559;"Furniture / Home Store"
32;"u0u6y27w";49.7046;6.2562;"Hardware Store"
33;"u0u6x35k";49.6645;6.2998;"Restaurant"
34;"u0u6k7ke";49.6327;6.1697;"Newsstand"
35;"u0u6k7ks";49.6329;6.1697;"Salon / Barbershop"
36;"u0u6k7kg";49.6327;6.17;"Smoke Shop"
37;"u0vugesz";50.0742;8.2464;"Bar"
38;"u0vugesv";50.0739;8.2464;"Convention Center"
39;"u0vugs59";50.0759;8.2447;"Pizza Place"
40;"u0vugesy";50.0741;8.2464;"Bar"
41;"u0vugesy";50.0741;8.2464;"Hotel"
42;"u0vugesx";50.0742;8.2461;"Breakfast Spot"
43;"u0vugskd";50.0775;8.2461;"Train Station"
44;"u0vugsk3";50.0773;8.2458;"Train Station"
45;"u0vugsm5";50.0777;8.2468;"Office"
46;"u0vugsks";50.0778;8.2461;"Café"
47;"u0u6k7ke";49.6327;6.1697;"Smoke Shop"
48;"u0u6k7sd";49.6339;6.1697;"Italian Restaurant"
49;"u0u6qnsw";49.6511;6.2466;"Shopping Mall"
50;"u0u6mww3";49.6502;6.227;"Italian Restaurant"
51;"u0u67ef8";49.6349;6.134;"Mediterranean Restaurant"
52;"u0u6x34b";49.6638;6.2991;"Dog Run"
53;"u0u6qpgd";49.6573;6.2452;"none"
54;"u0u6k7s1";49.6337;6.169;"Fast Food Restaurant"
55;"u0u6k7m4";49.6325;6.1704;"Seafood Restaurant"
56;"u0u6k7ef";49.6339;6.1687;"Salon / Barbershop"
57;"u0u6k7km";49.6331;6.1693;"Women's Store"
58;"u0u6k7eb";49.6336;6.1687;"Clothing Store"
59;"u0u6k7s3";49.6337;6.1693;"Steakhouse"
60;"u0u6x2gr";49.6636;6.2998;"Dog Run"
61;"u0u1x7up";49.5043;5.9493;"Social Club"
62;"u0u6k7s6";49.6339;6.1693;"Fast Food Restaurant"
63;"u0u6qpg9";49.6571;6.2452;"none"
64;"u0u1x763";49.5005;5.9469;"Burger Joint"
65;"u0u1x74w";49.5;5.9472;"Concert Hall"
66;"u0u6k7ks";49.6329;6.1697;"Newsstand"
67;"gcpuuvre";51.4894;-0.1324;"Government Building"
68;"gcpvn1d5";51.5128;-0.085;"Cemetery"
69;"gcpuu2xz";51.464;-0.154;"none"
70;"gcpuuy12";51.493;-0.1409;"Chinese Restaurant"
71;"gcpvj1mr";51.5121;-0.1245;"Clothing Store"
72;"gcpvhewk";51.5239;-0.1451;"Outdoor Sculpture"
73;"gcpuuvr6";51.4892;-0.1327;"Government Building"
74;"u6dc451r";59.2561;15.207;"Farm"
75;"u6dc4538";59.2562;15.2073;"Farm"
76;"u6dc4phb";59.2768;15.2118;"Office"
77;"u6dc4pj2";59.2768;15.2125;"Office"
78;"u6dc4phb";59.2768;15.2118;"Government Building"
79;"u6dc1f8c";59.2523;15.1953;"Gym / Fitness Center"
80;"u6dc451x";59.2561;15.2073;"Farm"
81;"u6dc4ju2";59.27;15.2111;"Shoe Store"
82;"u6dc4ju2";59.27;15.2111;"Coffee Shop"
83;"u6dfmfft";59.4741;15.3735;"none"
84;"u6dc1q3g";59.2732;15.1747;"Grocery Store"
85;"u6dc1f2w";59.2518;15.195;"Gym / Fitness Center"
86;"u6dc4nvr";59.2767;15.2125;"Government Building"
87;"u6dc4nvq";59.2765;15.2125;"Government Building"
88;"u6dc4pj4";59.2772;15.2121;"Office"
89;"u6dc4nux";59.2767;15.2114;"Government Building"
90;"u6dc1spc";59.2605;15.1939;"Water Park"
91;"u6dc1spf";59.2607;15.1939;"Water Park"
92;"u6dc1gru";59.2569;15.2049;"Farm"
93;"u6dc4ub7";59.265;15.2386;"Gym"
94;"u6dc4nuz";59.2767;15.2118;"Government Building"
95;"u6dc4t94";59.2689;15.2286;"Residential Building (Apartment / Condo)"
96;"u6dc4t96";59.2689;15.2289;"Residential Building (Apartment / Condo)"
97;"u6dc4t94";59.2689;15.2286;"Medical Center"
98;"u6dc4qcy";59.2765;15.2186;"Gym / Fitness Center"
99;"u6dc4my8";59.27;15.2252;"Grocery Store"
100;"u6dc4t93";59.2688;15.2289;"Residential Building (Apartment / Condo)"
101;"u6dc4t91";59.2688;15.2286;"Residential Building (Apartment / Condo)"
102;"u6dc4t96";59.2689;15.2289;"Medical Center"
103;"u6dc1mec";59.2688;15.1774;"Tech Startup"
104;"u6dc4t2e";59.2677;15.2279;"Factory"
105;"u6dc4ph8";59.2768;15.2114;"Office"
106;"u6dc4ph9";59.277;15.2114;"Office"
107;"u6dc4nzk";59.2761;15.2152;"Thai Restaurant"
108;"u6dc4532";59.2562;15.207;"Farm"
109;"u6dc4pp0";59.2768;15.2149;"Bike Shop"
110;"u6dc4pjt";59.2777;15.2128;"Gym"
111;"u6dc4ub6";59.2648;15.2386;"Gym"
112;"u6dc452c";59.2564;15.2063;"Farm"
113;"u6dc4mjy";59.2669;15.2241;"Fast Food Restaurant"
114;"u6dc4mpd";59.2662;15.2265;"Hockey Arena"
115;"u6dc4u2n";59.2627;15.2382;"Grocery Store"
116;"u6dc4nrn";59.2737;15.2149;"Restaurant"
117;"u6dc4pj1";59.277;15.2121;"Office"
118;"u6dc4pj0";59.2768;15.2121;"Government Building"
119;"u6dc4pj9";59.277;15.2128;"Automotive Shop"
120;"u6dc47j1";59.255;15.2231;"Elementary School"
