userid;utc_timestamp;utc_offset;geohash;counts;steps;biking;downstairs;jogging;sitting;standing;upstairs;walking
819;25-Jan-2019 14:00:00;+01:00;u2j71j;1154;2;18;0;0;227;0;0;0
819;25-Jan-2019 14:10:00;+01:00;u2j71j;482;0;0;0;0;600;0;0;0
819;25-Jan-2019 14:20:00;+01:00;u2j71j;7974;125;44;27;0;466;13;0;50
819;25-Jan-2019 14:30:00;+01:00;u2j71n;6311;37;12;16;0;572;0;0;0
819;25-Jan-2019 14:40:00;+01:00;u2j70y;1649;12;22;0;0;558;20;0;0
819;25-Jan-2019 14:50:00;+01:00;u2j70t;5298;110;50;1;0;524;25;0;0
819;25-Jan-2019 15:00:00;+01:00;u2j70w;995;0;0;0;0;600;0;0;0
819;25-Jan-2019 15:10:00;+01:00;u2j70w;291;0;0;0;0;600;0;0;0
819;25-Jan-2019 15:20:00;+01:00;u2j70w;319;0;0;0;0;600;0;0;0
819;25-Jan-2019 15:30:00;+01:00;u2j70y;305;0;0;0;0;600;0;0;0
819;25-Jan-2019 15:40:00;+01:00;u2j70y;69;0;0;0;0;112;0;0;0
819;25-Jan-2019 16:30:00;+01:00;u2j70t;650;0;0;0;0;269;0;0;0
819;25-Jan-2019 16:40:00;+01:00;u2j70w;414;0;0;0;0;600;0;0;0
819;25-Jan-2019 16:50:00;+01:00;u2j70w;415;0;0;0;0;600;0;0;0
819;25-Jan-2019 17:00:00;+01:00;u2j70w;399;0;0;0;0;600;0;0;0
819;25-Jan-2019 17:10:00;+01:00;u2j70y;257;0;0;0;0;400;0;0;0
819;25-Jan-2019 18:10:00;+01:00;u2j70w;746;0;0;0;0;340;0;0;0
819;25-Jan-2019 20:00:00;+01:00;u2j70y;533;0;0;0;0;84;0;0;0
819;25-Jan-2019 20:10:00;+01:00;u2j70y;348;0;0;0;0;515;0;0;0
819;26-Jan-2019 00:10:00;+01:00;u2j70w;710;0;0;0;0;382;0;0;0
819;26-Jan-2019 00:20:00;+01:00;u2j70w;123;0;0;0;0;206;0;0;0
819;26-Jan-2019 06:10:00;+01:00;u2j70t;683;0;0;0;0;322;0;0;0
819;26-Jan-2019 06:20:00;+01:00;u2j70t;188;0;0;0;0;316;0;0;0
819;26-Jan-2019 07:30:00;+01:00;u2j70v;3604;41;24;5;0;197;0;0;0
819;26-Jan-2019 07:40:00;+01:00;u2j70u;4028;4;0;0;0;600;0;0;0
819;26-Jan-2019 07:50:00;+01:00;u2j71k;7880;124;63;32;0;477;15;0;13
819;26-Jan-2019 08:00:00;+01:00;u2j71k;18239;283;46;17;0;418;2;9;108
819;26-Jan-2019 08:10:00;+01:00;u2j71j;12251;200;21;0;0;468;13;0;98
819;26-Jan-2019 08:20:00;+01:00;u2j71j;242;0;0;0;0;580;20;0;0
819;26-Jan-2019 08:30:00;+01:00;u2j71j;295;0;0;0;0;600;0;0;0
819;26-Jan-2019 08:40:00;+01:00;u2j71j;296;0;0;0;0;600;0;0;0
819;26-Jan-2019 08:50:00;+01:00;u2j71j;124;0;0;0;0;236;0;0;0
819;26-Jan-2019 09:00:00;+01:00;u2j71j;12563;211;3;0;0;443;14;0;92
819;26-Jan-2019 09:10:00;+01:00;u2j71j;7510;102;17;1;0;511;9;2;60
819;26-Jan-2019 09:20:00;+01:00;u2j71j;16237;251;34;40;0;422;5;3;96
819;26-Jan-2019 09:30:00;+01:00;u2j70w;6443;101;62;19;0;498;9;12;0
819;26-Jan-2019 09:40:00;+01:00;u2j70w;457;0;0;0;0;600;0;0;0
819;26-Jan-2019 09:50:00;+01:00;u2j70w;373;0;0;0;0;600;0;0;0
819;26-Jan-2019 10:00:00;+01:00;u2j70y;300;0;0;0;0;600;0;0;0
819;26-Jan-2019 10:10:00;+01:00;u2j70y;172;0;0;0;0;307;0;0;0
819;26-Jan-2019 10:40:00;+01:00;u2j70v;6933;69;60;0;0;502;0;0;0
819;26-Jan-2019 10:50:00;+01:00;u2j71s;19078;351;0;50;0;466;13;0;71
819;26-Jan-2019 11:00:00;+01:00;u2j71s;25903;473;28;174;0;320;4;0;74
819;26-Jan-2019 11:10:00;+01:00;u2j70w;6297;62;16;27;0;557;0;0;0
819;26-Jan-2019 11:20:00;+01:00;u2j70w;447;0;18;0;0;582;0;0;0
819;26-Jan-2019 11:30:00;+01:00;u2j70w;244;0;0;0;0;600;0;0;0
819;26-Jan-2019 11:40:00;+01:00;u2j70w;715;5;0;0;0;600;0;0;0
819;26-Jan-2019 11:50:00;+01:00;u2j70t;255;0;0;0;0;600;0;0;0
819;26-Jan-2019 12:00:00;+01:00;u2j70w;258;0;0;0;0;600;0;0;0
819;26-Jan-2019 12:10:00;+01:00;u2j70w;259;0;0;0;0;600;0;0;0
819;26-Jan-2019 12:20:00;+01:00;u2j70w;80;0;0;0;0;208;0;0;0
819;26-Jan-2019 13:10:00;+01:00;u2j70y;1033;1;0;0;0;136;13;0;0
819;26-Jan-2019 13:20:00;+01:00;u2j70y;3407;23;49;0;0;507;44;0;0
819;26-Jan-2019 13:30:00;+01:00;u2j70w;739;0;0;0;0;600;0;0;0
819;26-Jan-2019 13:40:00;+01:00;u2j70w;2721;5;18;0;0;547;35;0;0
819;26-Jan-2019 13:50:00;+01:00;u2j70w;5837;73;65;4;0;514;0;17;0
819;26-Jan-2019 14:00:00;+01:00;u2j70y;428;0;0;0;0;600;0;0;0
819;26-Jan-2019 14:10:00;+01:00;u2j70y;424;0;0;0;0;600;0;0;0
819;26-Jan-2019 14:20:00;+01:00;u2j70y;969;3;0;0;0;600;0;0;0
819;26-Jan-2019 14:30:00;+01:00;u2j70w;426;0;0;0;0;600;0;0;0
819;26-Jan-2019 14:40:00;+01:00;u2j70w;433;0;0;0;0;600;0;0;0
819;26-Jan-2019 14:50:00;+01:00;u2j70w;815;2;0;0;0;586;14;0;0
819;26-Jan-2019 15:00:00;+01:00;u2j70w;2192;22;34;0;0;566;0;0;0
819;26-Jan-2019 15:10:00;+01:00;u2j70t;436;0;0;0;0;600;0;0;0
819;26-Jan-2019 15:20:00;+01:00;u2j70t;422;0;0;0;0;600;0;0;0
819;26-Jan-2019 15:30:00;+01:00;u2j70y;420;0;0;0;0;600;0;0;0
819;26-Jan-2019 15:40:00;+01:00;u2j70w;410;0;0;0;0;600;0;0;0
819;26-Jan-2019 15:50:00;+01:00;u2j70t;411;0;0;0;0;600;0;0;0
819;26-Jan-2019 16:00:00;+01:00;u2j70w;411;0;0;0;0;600;0;0;0
819;26-Jan-2019 16:10:00;+01:00;u2j70t;426;0;0;0;0;600;0;0;0
819;26-Jan-2019 16:20:00;+01:00;u2j70w;425;0;0;0;0;600;0;0;0
819;26-Jan-2019 16:30:00;+01:00;u2j70t;406;0;0;0;0;600;0;0;0
819;26-Jan-2019 16:40:00;+01:00;u2j70t;417;0;0;0;0;600;0;0;0
819;26-Jan-2019 16:50:00;+01:00;u2j70t;406;0;0;0;0;600;0;0;0
819;26-Jan-2019 17:00:00;+01:00;u2j70w;397;0;0;0;0;600;0;0;0
819;26-Jan-2019 17:10:00;+01:00;u2j70t;880;0;0;0;0;579;0;0;0
819;26-Jan-2019 17:20:00;+01:00;u2j70y;407;0;0;0;0;600;0;0;0
819;26-Jan-2019 17:30:00;+01:00;u2j70w;417;0;0;0;0;600;0;0;0
819;26-Jan-2019 17:40:00;+01:00;u2j70y;429;0;0;0;0;600;0;0;0
819;26-Jan-2019 17:50:00;+01:00;u2j70t;409;0;0;0;0;600;0;0;0
819;26-Jan-2019 18:00:00;+01:00;u2j70y;423;0;0;0;0;600;0;0;0
819;26-Jan-2019 18:10:00;+01:00;u2j70t;423;0;0;0;0;600;0;0;0
819;26-Jan-2019 18:20:00;+01:00;u2j70y;422;0;0;0;0;600;0;0;0
819;26-Jan-2019 18:30:00;+01:00;u2j70w;2897;21;42;0;0;558;0;0;0
819;26-Jan-2019 18:40:00;+01:00;u2j70y;828;1;0;0;0;600;0;0;0
