userid;start_utc;stop_utc;start_local;stop_local;geohash;closest_category_name
819;26-Jan-2019 09:34:57;26-Jan-2019 09:50:28;26-Jan-2019 10:34:57;26-Jan-2019 10:50:28;u2j70yt0;Hardware Store
819;26-Jan-2019 13:41:33;26-Jan-2019 13:49:13;26-Jan-2019 14:41:33;26-Jan-2019 14:49:13;u2j70yt0;Hardware Store
819;28-Jan-2019 08:02:05;28-Jan-2019 09:13:00;28-Jan-2019 09:02:05;28-Jan-2019 10:13:00;u2j71jep;Sandwich Place
819;28-Jan-2019 15:12:10;28-Jan-2019 15:23:50;28-Jan-2019 16:12:10;28-Jan-2019 16:23:50;u2j70yt0;Hardware Store
819;28-Jan-2019 16:26:50;28-Jan-2019 16:32:24;28-Jan-2019 17:26:50;28-Jan-2019 17:32:24;u2j71n50;General College & University
819;28-Jan-2019 17:03:24;28-Jan-2019 18:32:57;28-Jan-2019 18:03:24;28-Jan-2019 19:32:57;u2j71n50;General College & University
819;28-Jan-2019 19:48:44;28-Jan-2019 19:58:04;28-Jan-2019 20:48:44;28-Jan-2019 20:58:04;u2j71n50;General College & University
819;28-Jan-2019 20:15:40;28-Jan-2019 20:43:17;28-Jan-2019 21:15:40;28-Jan-2019 21:43:17;u2j70yt0;Hardware Store
819;29-Jan-2019 05:13:42;29-Jan-2019 05:38:42;29-Jan-2019 06:13:42;29-Jan-2019 06:38:42;u2j70tyr;Bakery
819;29-Jan-2019 10:26:14;29-Jan-2019 10:43:03;29-Jan-2019 11:26:14;29-Jan-2019 11:43:03;u2j70ykz;Hardware Store
819;29-Jan-2019 15:26:07;29-Jan-2019 15:57:33;29-Jan-2019 16:26:07;29-Jan-2019 16:57:33;u2j70yt0;Hardware Store
819;29-Jan-2019 16:03:36;29-Jan-2019 18:11:05;29-Jan-2019 17:03:36;29-Jan-2019 19:11:05;u2j70yt0;Hardware Store
819;29-Jan-2019 18:22:13;29-Jan-2019 18:59:43;29-Jan-2019 19:22:13;29-Jan-2019 19:59:43;u2j70yt0;Hardware Store
819;30-Jan-2019 04:00:27;30-Jan-2019 06:49:17;30-Jan-2019 05:00:27;30-Jan-2019 07:49:17;u2j70yt0;Hardware Store
819;30-Jan-2019 13:04:21;30-Jan-2019 15:05:50;30-Jan-2019 14:04:21;30-Jan-2019 16:05:50;u2j70yt0;Hardware Store
819;30-Jan-2019 19:13:15;30-Jan-2019 19:51:58;30-Jan-2019 20:13:15;30-Jan-2019 20:51:58;u2j70yt0;Hardware Store
819;30-Jan-2019 20:00:40;30-Jan-2019 20:12:07;30-Jan-2019 21:00:40;30-Jan-2019 21:12:07;u2j70yt0;Hardware Store
819;30-Jan-2019 20:19:01;30-Jan-2019 20:42:34;30-Jan-2019 21:19:01;30-Jan-2019 21:42:34;u2j70yt0;Hardware Store
819;01-Feb-2019 09:26:41;01-Feb-2019 09:42:01;01-Feb-2019 10:26:41;01-Feb-2019 10:42:01;u2j70yt0;Hardware Store
819;01-Feb-2019 11:42:41;01-Feb-2019 12:01:43;01-Feb-2019 12:42:41;01-Feb-2019 13:01:43;u2j70ykx;Pizza Place
819;01-Feb-2019 13:42:34;01-Feb-2019 15:23:35;01-Feb-2019 14:42:34;01-Feb-2019 16:23:35;u2j70yt0;Hardware Store
819;02-Feb-2019 13:49:43;02-Feb-2019 14:08:01;02-Feb-2019 14:49:43;02-Feb-2019 15:08:01;u2j70yt0;Hardware Store
819;02-Feb-2019 14:28:59;02-Feb-2019 14:34:41;02-Feb-2019 15:28:59;02-Feb-2019 15:34:41;u2j70yt0;Hardware Store
819;02-Feb-2019 18:21:29;02-Feb-2019 18:35:39;02-Feb-2019 19:21:29;02-Feb-2019 19:35:39;u2j70yt0;Hardware Store
819;02-Feb-2019 19:54:08;02-Feb-2019 20:06:28;02-Feb-2019 20:54:08;02-Feb-2019 21:06:28;u2j70yt0;Hardware Store
819;02-Feb-2019 20:19:08;02-Feb-2019 20:33:57;02-Feb-2019 21:19:08;02-Feb-2019 21:33:57;u2j70yt0;Hardware Store
819;02-Feb-2019 22:22:23;02-Feb-2019 22:37:38;02-Feb-2019 23:22:23;02-Feb-2019 23:37:38;u2j70yt0;Hardware Store
819;02-Feb-2019 22:42:39;02-Feb-2019 22:47:42;02-Feb-2019 23:42:39;02-Feb-2019 23:47:42;u2j70yt0;Hardware Store
819;03-Feb-2019 10:19:32;03-Feb-2019 10:34:59;03-Feb-2019 11:19:32;03-Feb-2019 11:34:59;u2j70ykj;Pub
819;03-Feb-2019 10:41:22;03-Feb-2019 10:48:46;03-Feb-2019 11:41:22;03-Feb-2019 11:48:46;u2j70yt0;Hardware Store
819;03-Feb-2019 21:34:56;03-Feb-2019 21:52:05;03-Feb-2019 22:34:56;03-Feb-2019 22:52:05;u2j70yt0;Hardware Store
819;04-Feb-2019 08:32:01;04-Feb-2019 09:14:21;04-Feb-2019 09:32:01;04-Feb-2019 10:14:21;u2j71jdu;Bar
819;04-Feb-2019 09:51:01;04-Feb-2019 10:50:34;04-Feb-2019 10:51:01;04-Feb-2019 11:50:34;u2j71jep;Sandwich Place
819;04-Feb-2019 11:43:54;04-Feb-2019 12:05:34;04-Feb-2019 12:43:54;04-Feb-2019 13:05:34;u2j71jep;Sandwich Place
819;04-Feb-2019 12:17:34;04-Feb-2019 12:26:14;04-Feb-2019 13:17:34;04-Feb-2019 13:26:14;u2j71jc2;Clothing Store
819;04-Feb-2019 13:09:34;04-Feb-2019 13:22:34;04-Feb-2019 14:09:34;04-Feb-2019 14:22:34;u2j71jep;College Academic Building
819;04-Feb-2019 13:49:34;04-Feb-2019 14:10:54;04-Feb-2019 14:49:34;04-Feb-2019 15:10:54;u2j71jep;Sandwich Place
819;04-Feb-2019 15:45:08;04-Feb-2019 16:28:28;04-Feb-2019 16:45:08;04-Feb-2019 17:28:28;u2j71n50;General College & University
819;04-Feb-2019 16:29:51;04-Feb-2019 16:44:02;04-Feb-2019 17:29:51;04-Feb-2019 17:44:02;u2j71n4b;General College & University
819;04-Feb-2019 16:44:56;04-Feb-2019 16:53:36;04-Feb-2019 17:44:56;04-Feb-2019 17:53:36;u2j71n50;General College & University
