userid;start_utc_timestamp;start_utc_offset;stop_utc_timestamp;stop_utc_offset;geohash_from;geohash_to;foot;bike;car;bus;train
819;26-Jan-2019 09:50:28;+01:00;26-Jan-2019 13:41:33;+01:00;u2j70yt0;u2j70yt0;0;0;0;1;98
819;26-Jan-2019 13:49:13;+01:00;28-Jan-2019 08:02:05;+01:00;u2j70yt0;u2j71jep;5;0;9;5;79
819;28-Jan-2019 09:13:00;+01:00;28-Jan-2019 15:12:10;+01:00;u2j71jep;u2j70yt0;2;1;2;0;92
819;28-Jan-2019 16:32:24;+01:00;28-Jan-2019 17:03:24;+01:00;u2j71n50;u2j71n50;13;0;4;0;81
819;28-Jan-2019 20:43:17;+01:00;29-Jan-2019 05:13:42;+01:00;u2j70yt0;u2j70tyr;2;1;2;0;93
819;29-Jan-2019 05:38:42;+01:00;29-Jan-2019 10:26:14;+01:00;u2j70tyr;u2j70ykz;0;0;0;0;100
819;29-Jan-2019 10:43:03;+01:00;29-Jan-2019 15:26:07;+01:00;u2j70ykz;u2j70yt0;0;0;0;0;100
819;29-Jan-2019 18:11:05;+01:00;29-Jan-2019 18:22:13;+01:00;u2j70yt0;u2j70yt0;0;0;0;0;100
819;29-Jan-2019 18:59:43;+01:00;30-Jan-2019 04:00:27;+01:00;u2j70yt0;u2j70yt0;0;0;0;0;100
819;30-Jan-2019 06:49:17;+01:00;30-Jan-2019 13:04:21;+01:00;u2j70yt0;u2j70yt0;0;0;0;0;100
819;30-Jan-2019 15:05:50;+01:00;30-Jan-2019 19:13:15;+01:00;u2j70yt0;u2j70yt0;2;1;2;1;91
819;30-Jan-2019 19:51:58;+01:00;30-Jan-2019 20:00:40;+01:00;u2j70yt0;u2j70yt0;0;42;34;0;23
819;30-Jan-2019 20:12:07;+01:00;30-Jan-2019 20:19:01;+01:00;u2j70yt0;u2j70yt0;0;0;0;0;100
819;30-Jan-2019 20:42:34;+01:00;01-Feb-2019 09:26:41;+01:00;u2j70yt0;u2j70yt0;3;0;6;3;86
819;01-Feb-2019 12:01:43;+01:00;01-Feb-2019 13:42:34;+01:00;u2j70ykx;u2j70yt0;3;2;2;2;88
819;01-Feb-2019 15:23:35;+01:00;02-Feb-2019 13:49:43;+01:00;u2j70yt0;u2j70yt0;7;0;12;6;73
819;02-Feb-2019 14:08:01;+01:00;02-Feb-2019 14:28:59;+01:00;u2j70yt0;u2j70yt0;0;0;0;6;92
819;02-Feb-2019 14:34:41;+01:00;02-Feb-2019 18:21:29;+01:00;u2j70yt0;u2j70yt0;0;0;0;0;100
819;02-Feb-2019 18:35:39;+01:00;02-Feb-2019 19:54:08;+01:00;u2j70yt0;u2j70yt0;0;0;0;0;100
819;02-Feb-2019 20:06:28;+01:00;02-Feb-2019 20:19:08;+01:00;u2j70yt0;u2j70yt0;28;1;1;0;68
819;02-Feb-2019 20:33:57;+01:00;02-Feb-2019 22:22:23;+01:00;u2j70yt0;u2j70yt0;0;3;0;1;95
819;02-Feb-2019 22:37:38;+01:00;02-Feb-2019 22:42:39;+01:00;u2j70yt0;u2j70yt0;16;0;0;4;80
819;02-Feb-2019 22:47:42;+01:00;03-Feb-2019 10:19:32;+01:00;u2j70yt0;u2j70ykj;4;1;9;3;80
